artist_1	artist_2	count	song_ids
Lil Uzi Vert	Playboi Carti	3	['59J5nzL1KniFHnU120dQzt', '4pdgV8qr9Oytcv6thCdiIZ', '6kl1qtQXQsFiIWRBK24Cfp']
2 Chainz	Gucci Mane	3	['3eZGNBvKkExXp8q5FAyM8y', '2nBI3iWLhupR7LyAJ5GGkE', '39pS70eeDvyCAF3t8NAlVV']
2 Chainz	Kanye West	3	['3eZGNBvKkExXp8q5FAyM8y', '0rHJxNaQRMGK6Y4TUx3xRO', '2nBI3iWLhupR7LyAJ5GGkE']
2 Chainz	Yo Gotti	3	['3eZGNBvKkExXp8q5FAyM8y', '0rHJxNaQRMGK6Y4TUx3xRO', '2nBI3iWLhupR7LyAJ5GGkE']
Big Sean	Kanye West	3	['3eZGNBvKkExXp8q5FAyM8y', '0rHJxNaQRMGK6Y4TUx3xRO', '2nBI3iWLhupR7LyAJ5GGkE']
Big Sean	Quavo	3	['3eZGNBvKkExXp8q5FAyM8y', '0rHJxNaQRMGK6Y4TUx3xRO', '2nBI3iWLhupR7LyAJ5GGkE']
Big Sean	Yo Gotti	3	['3eZGNBvKkExXp8q5FAyM8y', '0rHJxNaQRMGK6Y4TUx3xRO', '2nBI3iWLhupR7LyAJ5GGkE']
Desiigner	Gucci Mane	3	['3eZGNBvKkExXp8q5FAyM8y', '1W8vII5CLpMMzAGvGlAgCk', '2nBI3iWLhupR7LyAJ5GGkE']
Gucci Mane	Quavo	3	['3eZGNBvKkExXp8q5FAyM8y', '2nBI3iWLhupR7LyAJ5GGkE', '39pS70eeDvyCAF3t8NAlVV']
Kanye West	Quavo	3	['3eZGNBvKkExXp8q5FAyM8y', '0rHJxNaQRMGK6Y4TUx3xRO', '2nBI3iWLhupR7LyAJ5GGkE']
Kanye West	Yo Gotti	3	['3eZGNBvKkExXp8q5FAyM8y', '0rHJxNaQRMGK6Y4TUx3xRO', '2nBI3iWLhupR7LyAJ5GGkE']
Quavo	Yo Gotti	3	['3eZGNBvKkExXp8q5FAyM8y', '0rHJxNaQRMGK6Y4TUx3xRO', '2nBI3iWLhupR7LyAJ5GGkE']
Clara Mae	KREAM	2	['5xey3cl8y5fWst3EKgPFk8', '26hcyzSE154xMZCbFdtInA']
Future	Nicki Minaj	2	['4AFgK4wP1iD5i8BYaLr9Vf', '2G60ShHRZZhqxSKbZTWdOh']
