artist_1	artist_2	count	song_ids
GoldLink	Shy Glizzy	2	['5geeTRRcsIg0MS5TvtBtHU', '15EPc80XuFrb2LmOzGjuRg']
Drake	PARTYNEXTDOOR	2	['5JUu0unA8VwhTZ9LkMWUVI', '1wZqJM5FGDEl3FjHDxDyQd']
Macklemore	Skylar Grey	2	['3HVr6jTVwBHBa2flM0eURR', '0CokSRCu5hZgPxcZBaEzVE']
Kesha	The Dap-Kings Horns	2	['5wIeuNURiubue1VTcglU57', '1kJtfldK9F7XmsSiSNlbth']
Drake	Gucci Mane	2	['3VCYe6mCXebBgcfzaxCVNI', '5tFep7dXGd7vEJ668wTPux']
Drake	Future	2	['78sr3ogs4UzITcCNbXM9cM', '27GmP9AWRs744SzKcpJsTZ']
Miguel	Travis Scott	2	['5WoaF1B5XIEnWfmb5NZikf', '1DRW9bQzt2SE8f7H4KJZyL']
Lil Wayne	The-Dream	2	['0rlFL6bxIWcCn9gk9GExFA', '270aLuFCbX32hhBr8MQyPM']
The-Dream	Ty Dolla $ign	2	['0rlFL6bxIWcCn9gk9GExFA', '270aLuFCbX32hhBr8MQyPM']
A$AP Mob	KEY!	2	['59e7E2LMPZ2bhW5G6aCwX8', '3LyNsopPP3hXf8bZBE7cDk']
A$AP Rocky	KEY!	2	['59e7E2LMPZ2bhW5G6aCwX8', '3LyNsopPP3hXf8bZBE7cDk']
Jonas Blue	William Singe	2	['0NiXXAI876aGImAd6rTj8w', '4xlrALxuaCf9yZBHJeTSG6']
21 Savage	Future	2	['6fwdbPMwP1zVStm8FybmkO', '2ClE3QfsNx9p0zjPKxmUYq']
Ty Dolla $ign	Wiz Khalifa	2	['4dASQiO1Eoo3RJvt74FtXB', '33z5crv3IO5U2BOi8xod92']
Kodak Black	PnB Rock	2	['5de7ci7TFqbQ1PFgKAD7MR', '0BU7nIcCZxYSE0hYcc5oZz']
2 Chainz	Migos	2	['4AlrLQ2RMxOwz1gTTkb4vQ', '67gmXPQZL1ISSh13OJJ1Pu']
2 Chainz	Young Thug	2	['0xl1w2q4VLojeXp4JfazPL', '5PfTI3zrQbZEWcQdycMqJM']
Future	Kendrick Lamar	2	['6DB2KOEwHnjkgEnBt5SdeJ', '6dVZCbi9CYtD9LjAHXRjIG']
Post Malone	Quavo	2	['2YK01AIIWuywG24gsbuizE', '3a1lNhkSLSkpJE4MSHpDu9']
Lil Uzi Vert	NAV	2	['790MhTXPFrYkrqCKvpg4t1', '4EbULzyWMuFx94aoIY1MlJ']
Lil Yachty	Macklemore	2	['7bsnTsbiwOymZWjPF9v6Di', '0RYXEibxMami3QuT8kn4Iz']
Fifth Harmony	Gucci Mane	2	['20H2Hd5AkUcRjB4yL3UQtJ', '7LEydI5NfjY6mZfKwYIptZ']
Gucci Mane	The Weeknd	2	['1tp1xMJ1uaOktksskS0Fzs', '2yuyaYAELoMG4ApV5wJsWR']
Beyoncé	Eminem	2	['5b2QnYcT9rQIkhRWt4HztQ', '5PIBgH1cUFwu5IiUk9tnN9']
A$AP Rocky	Tyler, The Creator	2	['1a0wEEHipnBR7WOHFA6ucQ', '21yRtB6B8EMounImAfHRCP']
Calvin Harris	Future	2	['3FDrI0FLKzrYQiWxPhqV2W', '0lMbuWUpfTWhEmOKxppEau']
Calvin Harris	Khalid	2	['3FDrI0FLKzrYQiWxPhqV2W', '0lMbuWUpfTWhEmOKxppEau']
Future	Khalid	2	['3FDrI0FLKzrYQiWxPhqV2W', '0lMbuWUpfTWhEmOKxppEau']
Kygo	The Night Game	2	['1Bxzw8ag71snOU9IbhXVD6', '2UxfcZJCphbEkfbZ6nLiDx']
Mike WiLL Made-It	Nicki Minaj	2	['3y9cCbnBn0zjkJa2YkOj70', '1aGOdZZE1uE0m3UYjcl3CP']
Grey	Hailee Steinfeld	2	['6875MeXyCW0wLyT72Eetmo', '1qOLh0tI7trd1zdDKxYZTe']
Grey	Zedd	2	['6875MeXyCW0wLyT72Eetmo', '1qOLh0tI7trd1zdDKxYZTe']
Hailee Steinfeld	Zedd	2	['6875MeXyCW0wLyT72Eetmo', '1qOLh0tI7trd1zdDKxYZTe']
Chris Brown	Future	2	['0NZUqq4iLQddokgtiC44Kb', '2XdgSB4TtzUHQYCMfSHbFI']
Big Sean	Jeremih	2	['36xxq7VDZZsGwARsn6Clo7', '0URaKGzNTtzKRtsJN1RkA9']
Big Sean	Travis Scott	2	['3wAI7MIQtTgwcRmwchPZBc', '7lxZbmtC6SkUc2yXBgDOdO']
Jon Bellion	Vice	2	['5pvVAwQbuFoR7LkcicrKnk', '542Xd5qDeLBvgXZXhfW7LE']
A$AP Mob	Frank Ocean	2	['4pdgV8qr9Oytcv6thCdiIZ', '6kl1qtQXQsFiIWRBK24Cfp']
A$AP Mob	Lil Uzi Vert	2	['4pdgV8qr9Oytcv6thCdiIZ', '6kl1qtQXQsFiIWRBK24Cfp']
A$AP Mob	Quavo	2	['4pdgV8qr9Oytcv6thCdiIZ', '6kl1qtQXQsFiIWRBK24Cfp']
A$AP Rocky	Frank Ocean	2	['4pdgV8qr9Oytcv6thCdiIZ', '6kl1qtQXQsFiIWRBK24Cfp']
A$AP Rocky	Lil Uzi Vert	2	['4pdgV8qr9Oytcv6thCdiIZ', '6kl1qtQXQsFiIWRBK24Cfp']
A$AP Rocky	Quavo	2	['4pdgV8qr9Oytcv6thCdiIZ', '6kl1qtQXQsFiIWRBK24Cfp']
Frank Ocean	Lil Uzi Vert	2	['4pdgV8qr9Oytcv6thCdiIZ', '6kl1qtQXQsFiIWRBK24Cfp']
Frank Ocean	Playboi Carti	2	['4pdgV8qr9Oytcv6thCdiIZ', '6kl1qtQXQsFiIWRBK24Cfp']
Frank Ocean	Quavo	2	['4pdgV8qr9Oytcv6thCdiIZ', '6kl1qtQXQsFiIWRBK24Cfp']
Playboi Carti	Quavo	2	['4pdgV8qr9Oytcv6thCdiIZ', '6kl1qtQXQsFiIWRBK24Cfp']
Quality Control	Quavo	2	['3wdfLVUhmX64lIyWIIEW8s', '49K3jbwZmZKaDGTfjpIVg0']
Calvin Harris	Frank Ocean	2	['6gpcs5eMhJwax4mIfKDYQk', '7tr2za8SQg2CI8EDgrdtNl']
Calvin Harris	Migos	2	['6gpcs5eMhJwax4mIfKDYQk', '7tr2za8SQg2CI8EDgrdtNl']
Frank Ocean	Migos	2	['6gpcs5eMhJwax4mIfKDYQk', '7tr2za8SQg2CI8EDgrdtNl']
N.E.R.D	Rihanna	2	['6tUgfsOa8PLkoede5nOR7D', '4PpuH4mxL0rD35mOWaLoKS']
Drake	Rihanna	2	['14WWzenpaEgQZlqPq2nk4v', '11KJSRSgaDxqydKYiD2Jew']
Drake	Giggs	2	['2jTujnt0y344ai1rNOywgr', '6CfrYuD3YRDYdYvH9jNtXY']
Offset	Quavo	2	['6urLjX35oXXRYtcH1b3dCh', '0tdCy39PgWN8LFWu34ORn3']
Drake	Lil Wayne	2	['3VCYe6mCXebBgcfzaxCVNI', '7KcGEssn7BnJdTgildK5y0']
French Montana	Swae Lee	2	['3B54sVLJ402zGa6Xm4YGNe', '1F2HXIJrE2Xn81OzT2zZvW']
Lana Del Rey	The Weeknd	2	['5LYQSNHZxEA880URXFHg6h', '4L7Y2OAPiY2I2GndZjAs5K']
Shawn Hook	Vanessa Hudgens	2	['7DQXiMeLqiQsy1uqHSk0xc', '4gqMQftUs22F8pOGVn5Acr']
2 Chainz	Quavo	2	['0rHJxNaQRMGK6Y4TUx3xRO', '39pS70eeDvyCAF3t8NAlVV']
Rex Orange County	Tyler, The Creator	2	['33i3xxHB4YSYGYbtJrwwO8', '5WNYg3usc6H8N3MBEp4zVk']
Halsey	Lauren Jauregui	2	['11EDhDAVDtGPoSar6ootYA', '4C5ewaZ05vyXM23jFJdwd4']
Lil Uzi Vert	Oh Wonder	2	['2eAZfqOm4EnOF9VvN50Tyc', '6GNifiuBPrKFpwNBYnooFm']
21 Savage	Post Malone	2	['1OmcAT5Y8eg5bUPv9qJT4R', '7wGoVu4Dady5GV0Sv4UIsx']
Alesso	Florida Georgia Line	2	['5AEtlRudpgdT5FtNiuly6Y', '5Gu0PDLN4YJeW75PpBSg9p']
Alesso	Hailee Steinfeld	2	['5AEtlRudpgdT5FtNiuly6Y', '5Gu0PDLN4YJeW75PpBSg9p']
Alesso	watt	2	['5AEtlRudpgdT5FtNiuly6Y', '5Gu0PDLN4YJeW75PpBSg9p']
Florida Georgia Line	Hailee Steinfeld	2	['5AEtlRudpgdT5FtNiuly6Y', '5Gu0PDLN4YJeW75PpBSg9p']
Florida Georgia Line	watt	2	['5AEtlRudpgdT5FtNiuly6Y', '5Gu0PDLN4YJeW75PpBSg9p']
Hailee Steinfeld	watt	2	['5AEtlRudpgdT5FtNiuly6Y', '5Gu0PDLN4YJeW75PpBSg9p']
21 Savage	Migos	2	['3IHZc2GclRu5nJpTqty7MY', '2ClE3QfsNx9p0zjPKxmUYq']
Chris Brown	Meek Mill	2	['6yMxfx9wpiuhhdb8vHDVMu', '3GgT5Au03iV45iGfTpzdhu']
Chris Brown	Ty Dolla $ign	2	['6yMxfx9wpiuhhdb8vHDVMu', '3GgT5Au03iV45iGfTpzdhu']
Meek Mill	Ty Dolla $ign	2	['6yMxfx9wpiuhhdb8vHDVMu', '3GgT5Au03iV45iGfTpzdhu']
SZA	Travis Scott	2	['1E2ePlJmijVSX0o1G9TFgR', '0q75NwOoFiARAVp4EXU4Bs']
G-Eazy	Marc E. Bassy	2	['4QdovcM8j50QPlyR7tH4xe', '1Bqxj0aH5KewYHKUg1IdrF']
