artist_1	artist_2	count	song_ids
Maître Gims	Orelsan	2	['1mfW6qQrlCPjzF7zXYtRsO', '0VhkA3NAwIFfVW4NFCbAOD']
Chris Stapleton	Justin Timberlake	2	['1LhMopPAallLeaeNutqbgS', '09ts3GnICqYEU5PkQCpJK3']
Dosseh	Lacrim	2	['140MOeqKlipMQmfmOC73tw', '2pqSVtFHtByxJuRWTJ0x06']
Damso	Orelsan	2	['7lhuM9WUqdThw72dCBRmQW', '0DXytBddBKZYbfDMP4X0kc']
Ninho	Yaro	2	['46ZOMbOANX8TlyEamO31MJ', '03O32oEi0jJsbmcHMjCPBD']
Angèle	Roméo Elvis	2	['1FA2zEZrny0KWchhx8CaHt', '06O3hxudc6V0BOuoCFSy71']
Alonzo	Naza	2	['6jQkGzbdspfj03KN5Xw4XS', '4bPAybkhQ3RiHizN6OPhIG']
Becky G	David Guetta	2	['3soOPBuMK8YMdWnV7xpEyf', '4dSoDnmR9opAQ8KxUc9SbC']
Becky G	Sean Paul	2	['3soOPBuMK8YMdWnV7xpEyf', '4dSoDnmR9opAQ8KxUc9SbC']
David Guetta	Sean Paul	2	['3soOPBuMK8YMdWnV7xpEyf', '4dSoDnmR9opAQ8KxUc9SbC']
Lost Frequencies	Zonderling	2	['1ZtEZjYb4e0V0gqwRYeeAY', '2hqy4QmpvMeVz6zeolDeLQ']
Bigflo & Oli	Petit Biscuit	2	['1952SQ7t45GNIkXOXHxHCl', '79m95shJaTK0aSogeQQTyD']
MHD	WizKid	2	['0SJRHDAStlsrXIXeFZZStK', '0O4XHiuVt3dBaOzSI49BtF']
6ix9ine	Murda Beatz	2	['2E124GmJRnBJuXbTb4cPUB', '4QIyEq7TcTdAcxjI2AFlAK']
Murda Beatz	Nicki Minaj	2	['2E124GmJRnBJuXbTb4cPUB', '4QIyEq7TcTdAcxjI2AFlAK']
Alonzo	Jul	2	['0s3AaE6bmu6V9TEUPPdWor', '2jKp7ANX1w8h5xiuxkqQqZ']
Jul	Moubarak	2	['2h5QtXSpi2Dg3G0imZESmv', '4yMEImCQkSAydckSKKBud7']
Cardi B	Maroon 5	2	['6FRLCMO5TUHTexlWo8ym1W', '7fa9MBXhVfQ8P8Df9OEbD8']
6ix9ine	Anuel AA	2	['0LQ1J0BCzA2qnAgp9MkkNE', '7ATATJztoWLcqDAcVVof0C']
